Cod UF,UF,Sgl UF,Cod IBGE,Nome Município,cod_latitude,cod_longitude,Sgl Região,Região
11,Rondônia,RO,1100015,Alta Floresta D'Oeste,-11.9287,-61.9958,N,Norte
11,Rondônia,RO,1100023,Ariquemes,-9.90612,-63.033,N,Norte
11,Rondônia,RO,1100031,Cabixi,-13.4951,-60.5446,N,Norte
11,Rondônia,RO,1100049,Cacoal,-11.4347,-61.4566,N,Norte
11,Rondônia,RO,1100056,Cerejeiras,-13.1874,-60.8173,N,Norte
11,Rondônia,RO,1100064,Colorado do Oeste,-13.1178,-60.5459,N,Norte
11,Rondônia,RO,1100072,Corumbiara,-12.9982,-60.9421,N,Norte
11,Rondônia,RO,1100080,Costa Marques,-12.4371,-64.2284,N,Norte
11,Rondônia,RO,1100098,Espigão D'Oeste,-11.527,-61.0256,N,Norte
11,Rondônia,RO,1100106,Guajará-Mirim,-10.7893,-65.33,N,Norte
11,Rondônia,RO,1100114,Jaru,-10.4322,-62.4792,N,Norte
11,Rondônia,RO,1100122,Ji-Paraná,-10.8782,-61.9326,N,Norte
11,Rondônia,RO,1100130,Machadinho D'Oeste,-9.42747,-61.9976,N,Norte
11,Rondônia,RO,1100148,Nova Brasilândia D'Oeste,-11.7251,-62.3131,N,Norte
11,Rondônia,RO,1100155,Ouro Preto do Oeste,-10.7171,-62.257,N,Norte
11,Rondônia,RO,1100189,Pimenta Bueno,-11.6724,-61.1984,N,Norte
11,Rondônia,RO,1100205,Porto Velho,-8.76247,-63.9045,N,Norte
11,Rondônia,RO,1100254,Presidente Médici,-11.1694,-61.8991,N,Norte
11,Rondônia,RO,1100262,Rio Crespo,-9.70492,-62.8985,N,Norte
11,Rondônia,RO,1100288,Rolim de Moura,-11.7275,-61.7719,N,Norte
11,Rondônia,RO,1100296,Santa Luzia D'Oeste,-11.9078,-61.7781,N,Norte
11,Rondônia,RO,1100304,Vilhena,-12.7506,-60.1493,N,Norte
11,Rondônia,RO,1100320,São Miguel do Guaporé,-11.6957,-62.7197,N,Norte
11,Rondônia,RO,1100338,Nova Mamoré,-10.4081,-65.3351,N,Norte
11,Rondônia,RO,1100346,Alvorada D'Oeste,-11.3467,-62.2852,N,Norte
11,Rondônia,RO,1100379,Alto Alegre dos Parecis,-12.1405,-61.8379,N,Norte
11,Rondônia,RO,1100403,Alto Paraíso,-9.7147,-63.3193,N,Norte
